Time,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64
29.18,8,29,85,544,945,1365,1449,1346,1164,1035,832,732,580,461,404,345,243,182,176,178,173,127,127,113,89,67,45,21,12,9,9,4,4,7,10,7,6,8,6,6,5,11,7,6,5,9,10,10,10,10,14,8,13,16,18,10,4,11,10,5,10,7,9,5
29.185,7,30,49,547,1126,1282,1357,1349,1161,1034,817,704,599,483,412,350,267,199,189,158,175,150,125,113,85,67,24,23,12,8,9,4,4,8,7,6,10,6,4,8,6,8,4,12,6,5,7,12,7,12,14,13,7,12,14,19,10,8,11,7,7,9,9,4
29.19,3,37,43,531,1119,1310,1392,1307,1107,989,887,723,607,514,407,356,262,231,182,172,149,166,129,96,84,56,27,14,11,11,6,7,5,5,7,7,6,10,6,5,7,5,9,5,8,7,6,10,7,14,11,14,5,14,13,13,22,6,10,11,5,7,7,7
29.195,16,37,51,419,1374,1383,1206,1216,1170,1007,860,701,614,493,427,362,268,212,195,182,148,148,150,104,88,58,25,17,10,8,8,4,11,5,4,7,7,8,7,7,5,6,7,9,4,8,7,7,8,8,11,17,7,11,12,13,15,19,9,7,9,7,6,7
29.2,29,40,63,577,1088,1295,1292,1265,1183,1042,875,794,595,524,383,351,267,206,197,172,141,165,150,98,80,57,26,12,9,6,6,12,3,10,4,5,6,8,9,3,8,7,4,11,7,4,6,6,12,5,11,10,17,8,9,16,10,18,14,9,8,10,6,2
29.205,19,29,48,380,1097,1474,1381,1266,1222,1019,863,768,611,473,412,331,252,221,191,173,168,143,139,115,89,61,24,7,8,5,6,10,7,6,7,6,6,6,4,7,11,5,6,6,10,6,3,7,11,6,6,9,15,12,12,9,11,15,17,12,13,6,6,7
29.21,23,40,70,504,1065,1348,1423,1213,1245,1007,874,761,580,514,398,332,266,197,204,187,158,168,130,109,98,58,27,7,5,8,6,5,10,8,5,6,9,4,4,9,6,10,6,3,7,14,4,3,6,11,5,8,14,12,9,12,10,14,13,18,9,9,13,1
29.215,9,42,52,470,967,1377,1356,1333,1278,1082,896,739,662,489,388,312,258,207,188,185,156,159,141,103,86,55,22,10,4,3,8,5,7,7,8,6,8,4,8,5,6,5,11,7,3,12,6,7,2,11,6,5,12,11,11,15,7,11,12,18,10,12,12,7
29.22,20,32,61,353,1137,1426,1390,1336,1183,1024,865,742,654,505,404,346,239,206,184,190,157,155,146,123,86,54,24,8,7,1,3,7,7,7,7,8,7,6,4,6,8,5,7,10,6,3,10,9,3,10,7,4,11,6,13,13,10,8,18,9,12,16,11,9
29.225,35,34,83,394,1040,1446,1373,1278,1216,1033,913,763,644,500,423,347,271,195,180,197,142,175,133,102,97,50,20,8,6,3,1,6,7,5,7,6,11,5,6,6,4,5,9,6,8,6,9,7,5,9,8,4,9,5,11,12,15,4,13,11,14,12,14,10
29.23,49,50,83,322,776,1478,1621,1406,1203,1079,919,719,625,496,405,329,284,213,183,209,151,146,137,106,76,54,15,9,6,4,1,3,3,8,10,4,6,7,9,4,6,6,6,5,11,4,8,6,11,4,5,7,7,6,8,9,14,16,9,10,8,21,8,7
29.235,25,58,62,216,971,1673,1554,1320,1172,1059,819,754,575,497,454,342,294,228,200,182,170,138,142,105,76,54,18,13,3,3,4,0,2,6,8,3,8,6,8,6,8,6,5,6,5,7,9,6,7,8,7,10,6,6,6,9,7,15,13,8,7,18,11,13
